"Researcher","Lattes Id","Seniority"
"Aline Pic  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS	                                    	                                     	                                	Universidade de Brasília /   	                                	 	                                	 		                                	Possui Licenciatura em Bioquímica pela Université de Poitiers (1996), Bacharelado em Biologia Aplicada (Bachelor of Science - B.Sc), pela Kingston University (1997) e Ph.D (Doctor of Philosophy) em Genética Molecular pela University of Newcastle Upon Tyne (2001). Tem experiência nas áreas de Genética, Biologia Molecular, Celular e Bioquímica atuando principalmente nos seguintes temas: Fatores de transcrição do tipo forkhead e mad box, ciclo celular e sua regulação e expressão gênica. Trabalhou com diversos modelos biológicos incluindo, Saccharomyces cerevisiae (levedura), Schizosaccharomyces pombe (levedura), Lytechinus pictus (ouriço-do-mar) e Arachis sp. (amendoim). É professora associada I na Universidade de Brasília, onde desenvolve pesquisa nas áreas de Biologia Molecular do Desenvolvimento, Toxicologia da Reprodução e Genética Humana . Orientadora de mestrado e doutorado nos programas de Pós-Graduação em Biologia Animal e Ciências da Saúde.","8739951817243849","9"
"Carlos Alberto Bezerra Tomaz  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS / Neurobiologia	                                    	                                     	                                	Universidade Ceuma / Coordenação de Pesquisa em Neurociências  	                                	 	                                	 		                                	Possui graduação em Psicologia pela Universidade Federal do Pará (1977), Mestrado em Psicologia Experimental pela Universidade de São Paulo (1981), Doutorado em Neurociências- Universitat Dusseldorf (Alemanha, 1986) e Livre-Docência pela Universidade de São Paulo (1988). Foi Professor Titular da Universidade de São Paulo (Campus de Ribeirão Preto) e Professor Titular da Universidade de Brasília. Atualmente é Professor Titular da Universidade CEUMA e pesquisador colaborador senior da UnB. Entre Prêmios e Honrarias, recebeu a Laurea Honoris Causa da University of L'Aqilla - Itália em 2006, Prêmio UnB de Pesquisa, categoria Master, área de Ciências da Vida em 2007, foi eleito Fellow da International Behavioral Neuroscience Society em 2007. Já orientou 32 alunos de Mestrado e 30 de Doutorado. Tem experiência na área de Neurociências e Comportamento, atuando principalmente nos seguintes temas: demência, memória, emoções, ansiedade, dependência de drogas de abuso.","2576531891879144","9"
"Carolina Madeira Lucci  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS / Citologia e Biologia Celular	                                    	                                     	                                	Universidade de Brasília / Unb  	                                	 	                                	 		                                	possui graduação em Medicina Veterinária pela Universidade Estadual do Ceará (1996), mestrado em Ciências Veterinárias pela Universidade Estadual do Ceará (1999) e doutorado em Ciências Biológicas (Biologia Molecular) pela Universidade de Brasília (2003). Atualmente é professor associado da Universidade de Brasília, vinculada ao Instituto de Ciências Biológicas, atuando em graduação e pós-graduação (mestrado e doutorado). Foi nomeada membro afiliado da Academia Brasileira de Ciências em 2009. Tem experiência na área de Reprodução Animal, com ênfase em Fisiologia e Biotecnologia da Reprodução, atuando principalmente nos seguintes temas: folículos ovarianos pré-antrais, resfriamento e criopreservação de células germinativas, morfologia e ultra-estrutura.","9069808208981819","9"
"Cesar Koppe Grisolia  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS / Ecotoxicologia	                                    	                                     	                                	Universidade de Brasília / Instituto de Ciências Biológicas  	                                	 	                                	 		                                	Graduação em Ciências Biológicas Modalidade Médica pela Faculdade de Medicina de Ribeirão Preto da Universidade de São Paulo (1981), mestrado em Genética pela Universidade de São Paulo (1985) e doutorado Genética pela Universidade de São Paulo (1991). Pós-doutorado em Ecotoxicologia, no Departamento de Biologia da Universidade de Aveiro (Portugal, 2008). Atualmente é professor titular do Departamento de Genética e Morfologia do Instituto de Ciências Biológicas da Universidade de Brasília. Tem experiência na área de genética, atuando em pesquisas nas áreas de mutagênese ambiental, principalmente nos seguintes temas: ecotoxicologia, ecogenotoxicologia, mutagenese química e genética humana. Credenciado nos programas de pós-graduação em Patologia Molecular (Faculdade de Medicina da UnB), Programa de Pós-graduação em Bioética da Faculdade de Ciências da Saúde da UnB e Biologia Animal (Instituto de Ciências Biológicas da UnB). Coordenador da Rede Centro-Oeste de Nanotoxicologia Aquática, com financiamento do MCT/CNPq. Atualmente tem como principal modelo experimental o zebrafish (Danio rerio), com estudos de genotoxicidade, malformações e teratogênese, genômica, além de outros bioensaios toxicológicos. Pesquisador CNPq-1D.","6611558584487547","9"
"Daniela Mara de Oliveira  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS / Biofísica Molecular/nanobiotecnologia	                                    	                                     	                                	Universidade de Brasília / IB - Departamento de Genética e Morfologia  	                                	 	                                	 		                                	Possui graduação em Ciências Biológicas pela Universidade Federal de São Paulo (1994) e doutorado em Ciências Biológicas (Bioquímica) pela Universidade de São Paulo (2000). Atualmente é professor adjunto da Universidade de Brasília (UnB) no Departamento de Genética e Morfologia. Tem experiência na área de Bioquímica, Biologia Molecular,Biologia Celular e Morfologia. Sua pesquisa tem como tema a biologia de dois tipos de células-tronco adultas: células mesenquimais e células tronco de tumores cerebrais pediátricos.","6624700495176582","9"
"Elisabeth Nogueira Ferroni Schwartz  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_HUMANAS / Psicologia Fisiológica/Neurologia, Eletrofisiologia e Comportamento	                                    	                                     	                                	Universidade de Brasília / Instituto de Ciências Biológicas  	                                	 	                                	 		                                	possui graduação em Ciências Biológicas pela Universidade de São Paulo (1986), mestrado em Ciências (Fisiologia Geral) pela Universidade de São Paulo (1990), doutorado em Ciências (Fisiologia Geral) pela Universidade de São Paulo (1997) e realizou pós-doutorado em Bioquímica no Instituto de Biotecnologia da Universidade Nacional Autônoma do México (UNAM). Atualmente é professora associada (DE) da Universidade de Brasília. Tem experiência na área Toxinologia, com ênfase na bioquímica e farmacologia de peptídeos neuroativos. Desenvolve projetos que visam conhecer a diversidade de componentes da peçonha de artrópodes, particularmente as de escorpiões e aranhas caranguejeiras, e realizar a bioprospecção de novas ferramentas farmacológicas. Para isso, utiliza técnicas de proteômica e de transcritoma das glândulas de peçonha. Tem especial interesse nas neurotoxinas que modulam canais iônicos, utilizando técnicas de eletrofisiologia celular nesses estudos.","7339158885682632","9"
"João Paulo Figueiró Longo  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS / Terapia Fotodinâmica	                                    	                                     	                                	Universidade de Brasília / Instituto de Ciências Biológicas  	                                	 	                                	 		                                	Possui mestrado em Patologia Molecular e doutorado em Biologia Animal pela Universidade de Brasília. Atualmente é professor adjunto na mesma universidade atuando nas áreas de Nanobiotecnologia e Nanomedicina. Os principais projetos que está envolvido estão relacionados a investigação dos efeitos de nanomateriais sobre sistemas biológicos em diferentes níveis de complexidade.","3208175361373924","9"
"Maria Clotilde Henriques Tavares  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS / Primatologia	                                    	                                     	                                	Universidade de Brasília / Instituto de Ciências Biológicas  	                                	 	                                	 		                                	Possui graduação em Licenciatura em Psicologia pela Universidade Federal da Paraíba (1989), mestrado em Psicologia pela Universidade de Brasília (1993) e doutorado em Psicologia (Neurociências e Comportamento) pela Universidade de São Paulo (2002). É bolsista de produtividade (PQ2) do CNPq e professora Associada, nível III do Departamento de Ciências Fisiológicas do Instituto de Ciências Biológicas da Universidade de Brasília do qual foi chefe nos últimos dois anos. É coordenadora do Centro de Primatologia (criadouro científico de primatas da fauna brasileira credenciado pelo Ibama para fins de pesquisa) do mesmo Instituto. Atuou por 7 anos como membro do Comitê de Ética da Faculdade de Medicina da Universidade de Brasília. Tem desenvolvido projetos de pesquisa nos quais tem investigado em humanos - 1) Funções cognitivas e executivas e os seus correlatos com o registro da atividade eletroencefalográfica (EEG) em jovens, adultos e idosos, 2) Percepção visual ilusória em tricromatas e portadores de discromatopsias; 3) Aspectos psicossociais e qualidade de vida em idosos e usuários do sistema de saúde pública. Utilizando primatas não-humanos tem desenvolvido estudos particularmente com macacos-prego (Sapajus spp.), espécie de primata neotropical nos quais tem investigado: 1) Funções cognitivas (memória operacional, memória emocional, memória espacial e tempo de reação) e percepção visual ilusória; 2) Efeitos da administração aguda e prolongada de testosterona sobre o comportamento sexual de fêmeas da espécie; 3) Variações hormonais associadas ao ciclo menstrual; 4) Ecologia comportamental e influência da disponibilidade de alimentos nas interações entre humanos e macacos-prego no Parque Nacional de Brasília, DF; 5) Caracterização de aspectos anatômicos de Sapajus sp. associado a aspectos comportamentais. . Orienta em nível de graduação alunos de iniciação científica e estagiários, e alunos de mestrado e de doutorado alunos do Programa de Pós-graduação em Biologia Animal do Instituto de Ciências Biológicas e do Programa de Pós-graduação em Ciências da Saúde, da Faculdade de Ciências da Saúde, ambos da Universidade de Brasília.","7422288792695902","9"
"Maria de Fátima M Almeida Santos  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS / Biologia do Câncer	                                    	                                     	                                	Universidade de Brasília / Instituto de Ciências Biológicas  	                                	 	                                	 		                                	Bacharel em Ciências Biológicas - Universidade de Brasília (1990), Licenciatura em Ciências Biológicas - Universidade de Brasília (1991), Mestre em Imunologia e Genética Aplicadas - Universidade de Brasília (1994) Doutor em Patologia Molecular - Universidade de Brasília (1999). Atualmente é professor Associado II da Universidade de Brasília. Tem experiência na área de Genética, com ênfase em Biologia do Câncer.","6242712900164633","9"
"Mariana de Souza Castro  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS / Análise Proteômica	                                    	                                     	                                	Universidade de Brasília / Laboratório de Toxinologia  	                                	 	                                	 		                                	é graduada em Ciências Biológicas (Bacharelado e Licenciatura) pela Universidade de Brasília (1991), especialista em Educação a Distância pela Universidade de Brasília (2007), mestre em Biologia Molecular (Química de Proteínas) pela Universidade de Brasília (1995) e doutora em Biologia Molecular (Química de Proteínas) pela Universidade de Brasília (1999). Atualmente é professora associada 4 da Universidade de Brasília. Já foi chefe do Departamento de Ciências Fisiológicas, Instituto de Ciências Biológicas (junho/2007 a julho/2010). Atual coordenadora do Programa de Pós-Graduação em Biologia Animal da Universidade de Brasília (06/2017-05/2019). Foi pesquisadora visitante na University of Southern Denmark (Odense) sob a supervisão do Prof. Peter Roepstroff. Tem experiência na área de Bioquímica, com ênfase na caracterização de peptídeos biologicamente ativos. É membro do corpo editorial dos periódicos Protein and Peptide Letters (http://benthamscience.com/journal/index.php?journalID=ppl) e Current Protein and Peptide Science (http://benthamscience.com/journal/index.php?journalID=cpps). Já publicou 45 artigos em periódicos indexados de circulação internacional, 6 capítulos de livros e atuou como editora convidada na elaboração de 3 fascículos especiais do periódico Protein and Peptide Letters. Orientou 36 bolsistas de iniciação científica, 11 alunos de mestrado, 1 aluno de mestrado na qualidade de co-orientadora, 7 alunos de doutorado, 2 alunos de doutorado na qualidade de co-orientadora e 5 pós-doutores. No momento, orienta 2 bolsistas de iniciação científica, 6 alunos de mestrado e 1 aluno de doutorado.","9162321378895527","9"
"Monica Pereira Garcia  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS / Imunogenética	                                    	                                     	                                	Universidade de Brasília / Instituto de Ciências Biológicas  	                                	 	                                	 		                                	Possui graduação em Ciências Biológicas pela Universidade de Brasília (1992), mestrado em Ciências Biológicas (Biologia Molecular) pela Universidade de Brasília (1995) e doutorado em Ciências da Saúde pela Universidade de Brasília (2005). Em 2001 realizou uma especialização em diferenciaçção celular, com o Dr. Klaus Scherrer, na Universidade de Paris VII, Instituto Jacques Monod, França. Em 2014 realizou em pós-doutorado em magnetohipertermia com o Dr. Robert Ivkov, na Universidade Johns Hoppikins, EUA. Atualmente é professora adjunto da Universidade de Brasília. Tem experiência na área de Morfologia, com ênfase em Histologia, atuando principalmente nos seguintes temas: nanobiotecnologia, terapia fotodinâmica e magnetohiertermia no combate ao câncer. Orientadora de mestrado nos programas de pós-graduação: em Biologia Animal e em Nanociências e Nanotecnologia","1869410903969724","8"
"Márcia Renata Mortari  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS	                                    	                                     	                                	Universidade de Brasília / Instituto de Ciências Biológicas  	                                	 	                                	 		                                	Possui graduação em Ciências Biológicas (UnB), mestrado em Biologia Animal (UnB), doutorado em Psicobiologia (FFCL/RP-USP) e pós-doutorado (FFCL/RP-USP) na área de concentração Neurofarmacologia. Possui experiência nas áreas de Farmacologia, Bioquímica e Neurociências, com ênfase em psicofarmacologia. É membro da Sociedade de Neurociências e Comportamento (SBNec), da Sociedade de Toxinologia (SBTx) e da Society for Neuroscience (SfN). Atualmente, desenvolve pesquisas com identificação estrutural (bioquímica de macromoléculas) e atividade neurofarmacológica de novos peptídeos isolados da peçonha de animais e Nanopartículas em modelos animais de doenças neurodegenerativas e neurológicas, em especial a Doença de Parkinson, a Doença de Alzheimer, a Epilepsia, os Distúrbios de ansiedade e dor crônica.","6981177079694893","7"
