"Researcher","Lattes Id","Seniority"
"Anamélia Lorenzetti Bocca  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_DA_SAUDE / Anatomia Patológica e Patologia Clínica/Imunopatologia	                                    	                                     	                                	Universidade de Brasília / Instituto de Ciências Biológicas  	                                	 	                                	 		                                	Possui graduação em Farmácia Industrial pela Universidade de São Paulo (1990), mestrado em Imunologia Básica e Aplicada pela Universidade de São Paulo (1993) e doutorado em Imunologia Básica e Aplicada pela Universidade de São Paulo (1996). Atualmente é professor associado IV da Universidade de Brasília. Tem experiência na área de Imunologia, com ênfase em Imunologia Celular, atuando principalmente nos seguintes temas: paracoccidioidomicose, cromoblastomicose, macrófagos, óxido nítrico, granuloma e inflamassoma. Desenvolve trabalhos utilizando peptídeos com atividade anti-inflamatória. Coordena o Laboratório de Imunologia Celular no Instituto de Biologia, Universidade de Brasília. O principal objetivo dos trabalhos desenvolvidos é o entendimento da interação fungo-hospedeiro visando alternativas terapêuticas mais eficientes.","7426592963217111","9"
"Andrea Queiroz Maranhao  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS / Biologia Molecular/Engenharia Genética Clonagem e Expressão de Genes Heterólogos Construção de Vetores	                                    	                                     	                                	Universidade de Brasília / Instituto de Ciências Biológicas  	                                	 	                                	 		                                	Possui mestrado em Ciências Biológicas (Biologia Molecular) - Departamento de Biologia Celular (1995) e Doutorado em Ciências Biológicas (Biologia Molecular) pela Universidade de Brasília (2001). Atualmente é professora associado da Universidade de Brasília. Tem experiência na área de Biologia Molecular, com ênfase em Imunologia Molecular, atuando principalmente nos seguintes temas: expressão de proteínas heterólogas, anticorpos em seus fragmentos em especial, phage display, humanização de anticorpos de interesse clínico, desenvolvimento de vetores para a expressão de proteínas recombinantes em bactérias, leveduras (Pichia pastoris) e células de mamíferos, além de ter experiência de participação de diversos projetos genomas funcional e estrutural.","0578253829444920","9"
"Bergmann Morais Ribeiro  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS / Genética Molecular e de Microorganismos/Biologia Molecular de Bacillus Thuringiensis	                                    	                                     	                                	Universidade de Brasília / Instituto de Ciências Biológicas  	                                	 	                                	 		                                	Possui graduação em Ciências Biollógicas pela Universidade de Brasília (1986), mestrado em Biotecnologia pelo Imperial College da Universidade de Londres, Inglaterra (1988), e doutorado em Microbiologia, também pelo Imperial College da Universidade de Londres (1992). Fez estágio pós-doutoral (1992 a 1993) na Universidade da Georgia (USA) e foi vice-chefe (2000 a 2002) e chefe (2002 a 2004) do Departamento de Biologia Celular, coordenador (2004-2007) do Programa de Pós-Graduação em Biologia Molecular do Departamento de Biologia Celular, Instituto de Ciências Biológicas e coordenador do Programa de Pós-Graduação em Patologia Molecular da Faculdade de Medicina (2010-2012), Além disso, foi vice-presidente (2013-2014) e presidente da Sociedade Brasileira de Virologia (2015-2016) e Diretor de Pós-Graduação do Decanato de Pesquisa e Pós-Graduação da Universidade de Brasília (2012-2016). Atualmente, é Professor Titular em Biologia Celular e Molecular do Departamento de Biologia Celular, Instituto de Ciências Biológicas da Universidade de Brasília (desde agosto de 2008) e pesquisador de produtividade do CNPq (nível 1C), Tem experiência na área de Microbiologia, com ênfase em biologia molecular de baculovírus, atuando principalmente nos seguintes temas: controle biológico de pragas e vetores, biologia molecular de vírus de inseto, biologia molecular de Bacillus thuringiensis e produção de insumos biotecnológicos.","5505277659734432","9"
"Carlos Andre Ornelas Ricart  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS / Enzimologia	                                    	                                     	                                	Universidade de Brasília / Instituto de Ciências Biológicas  	                                	 	                                	 		                                	Carlos André Ornelas Ricart é bacharel em Ciências Biológicas pela Universidade de Brasília(UnB) (1986), mestre em Ciências Biológicas (Biologia Molecular) pela Universidade de Brasília (1989) e PhD in Biochemistry pela Leeds University (1994). É professor da Universidade de Brasília desde 1989 onde ocupa atualmente cargo de Professor Titular. Dentre suas atividades de gestão, foi Chefe de Departamento de Biologia Celular do Instituto de Ciências Biológicas e coordenador do Programa de Pós graduação em Patologia Molecular (conceito 5 CAPES) da Universidade de Brasília. Suas atividades de pesquisa concentram-se nas áreas de bioquímica, química de proteínas e proteômica aplicadas a diversos modelos biológicos com destaque para a análise proteômica e subproteômica de Trypanosoma cruzi e análise proteômica de fungos filamentosos produtores de enzimas que degradam biomassa vegetal. Já coordenou diversos projetos de pesquisa financiados por diferentes órgão de fomento, incluindo FAPDF, CNPq, CAPES, International Foundation for Science e Organização Mundial da Saúde. Atualmente é membro da diretoria (tesoureiro) da Sociedade Brasileira de Proteômica .","1271167329803156","9"
"Carlos Bloch Junior  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS / Espectrometria de massa	                                    	                                     	                                	Empresa Brasileira de Pesquisa Agropecuária / Centro Nacional de Pesquisa de Recursos Genéticos e Biotecnologia  	                                	 	                                	 		                                	Possui graduação em Ciências Biológicas (BSc. Biologia Molecular) pela Universidade de Brasília (1985), mestrado em Ciências Biológicas (MSc. Biologia Molecular) pela Universidade de Brasília (1988) e doutorado (PhD) Doctor of Phylosophy - Science Falculties - University of Durham (1991), Pos-doutorado em Físico-Química de Macromoléculas na UCL - University College London (1993). Foi professor do Instituto de Química da Universidade de Brasília (UnB) e professor vistante do Chemistry Department - Glasgow University (Reino Unido). Atualmente é pesquisador A da EMBRAPA Recursos Genético e Biotecnologia (CENARGEN). Tem experiência na área de Bioquímica, com ênfase em Química de Macromoléculas, Espectrometria de Massa, Desenho de moléculas, Ressonância Mangnética Nuclear de proteínas. Atualmente é líder do Laboratório de Espectrometria de Massa da Embrapa Recursos Genéticos e Biotecnologia.","5649236321441309","9"
"Cynthia Maria Kyaw  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS / Ecologia microbiana	                                    	                                     	                                	Universidade de Brasília / Instituto de Ciências Biológicas  	                                	 	                                	 		                                	possui graduação em Ciências Biológicas Licenciatura e Bacharelado pela Universidade de São Paulo (1981), mestrado em Ciências Biológicas (Biologia Molecular) - Departamento de Biologia Celular (1992) e doutorado em Ciências Biológicas (Biologia Molecular) pela Universidade de Brasília (2004). Atualmente é professor adjunto da Universidade de Brasília. Tem experiência na área de Microbiologia, com ênfase em Biologia Molecular de procariotos, com projetos voltados à virulência de enteropatógenos e infecções hospitalares. Também atua, como pesquisadora colaboradora de projetos envolvendo a biologia molecular de fungos dimórficos, patógenos humanos como Paracoccidioides brasiliensis e Candida albicans (estudo da expressãp diferencial de genes, análise do perfil transcricional destes fungos em diversas condições de cultivo e da interação com o hospedeiro, além de estudos envolvendo o fenômeno de quorum sensing ). Recentemente passou a desenvolver uma linha de pesquisa voltada ao estudo de membros do Domínio Archaea, abordando análises filogenéticas e cultivo in vitro de archaeas de ambientes naturais do Cerrado, além da prospecção de genes de interesse biotecnológico de archaeas. Teve dois projetos de pesquisa aprovados pela FAP-DF, voltados à análise filogenética de amientes aquáticos do Cerrado e à análise do potencial biotecnológico de Haloarchaeas.","4515344457117900","9"
"Dario Grattapaglia  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS / Genética Humana e Médica/Genética Forense e de Populações	                                    	                                     	                                	Empresa Brasileira de Pesquisa Agropecuária / Embrapa Recursos Genéticos e Biotecnologia  	                                	 	                                	 		                                	Engenheiro florestal pela Universidade de Brasília (1985) e PhD em Genética (co-major em Ciências Florestais) pela North Carolina State University (1994) (Phi Kappa Phi Honor Society Chapter 33 - 1992). Pesquisador Científico A e Líder de projetos da EMBRAPA Recursos Genéticos e Biotecnologia desde 1994 e Professor do programa de pós-graduação em Ciências Genômicas e Biotecnologia da Universidade Católica de Brasília desde 2000. Também atua como Adjunct Professor na North Carolina State University desde 2016 e é professor credenciado para orientação de pós-graduandos na UnB desde 1995 e co-orientação pontual na USP-Esalq desde 1997. É sócio fundador e proprietário da Heréditas/Genomax Tecnologia em Análise de DNA Ltda. desde 1996. Sua área de atuação é centrada na genética, melhoramento e ciências genômicas de plantas com ênfase em espécies florestais. Tangencialmente também desenvolve pesquisa na área de genética de populações e forense de seres humanos e animais domésticos. Atua como editor associado da revista 'Tree Genetics and Genomes' (Springer) desde 2005 e da 'Genetics and Molecular Biology' (Sociedade Brasileira de Genética) desde 2009. É consultor de agências de fomento científico no Brasil (CNPq, FAPESP, FINEP, CAPES) e exterior (US National Science Foundation, USDA Plant Genome Initative, Australian Research Council, Genome Canada) e atua ainda como consultor técnico científico na interface entre genômica e melhoramento genético para empresas de base florestal no Brasil e exterior. Atuou como membro do painel de consultores (Review Advisory Panel) do 'Generation Challenge Program' (CGIAR-FAO) e como membro de conselhos de consultores científicos (Scientific Advisory Boards) de projetos de pesquisa em genômica florestal no Canadá (Genome Canada), e projetos da Comunidade Européia. Foi eleito membro titular da Academia Brasileira de Ciências em 2012.","0576885615997048","9"
"Edivaldo Ximenes Ferreira Filho  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS / Química de Macromoléculas	                                    	                                     	                                	Universidade de Brasília / Departamento de Biologia Celular  	                                	 	                                	 		                                	O pesquisador possui Bacharelado em Ciências Biológicas pela Universidade de Brasília (1984), Mestrado em Ciências Biológicas (Biologia Molecular) pela Universidade de Brasília (1987) e Ph.D em Bioquímica pela University College Galway, Irlanda (1992). Apresenta experiência na área de Bioquímica, com ênfase em Enzimologia, atuando principalmente na seguinte linha de pesquisa: produção, purificação e aplicação biotecnológica de celulases, hemicelulases e pectinases de fungos filamentosos. O pesquisador é professor titular da Universidade de Brasília (área de bioquímica).","9612272587252178","9"
"Eliane Ferreira Noronha  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS / Proteômica	                                    	                                     	                                	Universidade de Brasília / Departamento de Biologia Celular  	                                	 	                                	 		                                	A Dra. Eliane F. Noronha graduou em Ciências Biológicas nível bacharelado pela Universidade de Brasília (1994), e posteriormente se especializou fazendo o Mestrado e Doutorado em Ciências Biológicas (Biologia Molecular) desta mesma Instituição. Atualmente é professora Adjunto IV dedicação exclusiva na Universidade de Brasília. Tem experiência na área de Bioquímica, com ênfase em Enzimologia e Estudos de Proteoma atuando principalmente nos seguintes temas: bioquímica de microrganismos, controle biológico, bioprospecção de enzimas de interesse biotecnológico, expressão heteróloga de proteínas de interesse biotecnológico.","1016320998962875","9"
"Elibio Leopoldo Rech Filho  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS	                                    	                                     	                                	EMBRAPA / EMBRAPA Recursos Genéticos e Biotecnologia  	                                	 	                                	 		                                	Elibio Rech obteve o título de Bacharel (BSc.) em Engenharia Agronômica pela Universidade de Brasília, Brasília, Distrito Federal, em 1980, com o projeto final intitulado: Estudo sócio econômico da agropecuária dos Cerrados. Obteve o título de Mestre (MSc.) em Fitopatologia pela Universidade de Brasília, em 1983, com a dissertação: Efeito antagônico de Bacillus subtilis, Pseudomonas spp. e Trichoderma harzianum a fungos fitopatogênicos. Em 1989, obteve o título de Doutor (PhD.) em ?Life Sciences?, pela University of Nottingham, Nottingham, na Inglaterra, com a dissertação: Electric fields and Agrobacteria for gene transfer into plants. Realizou Pós-doutorado em 1990 na University of Nottingham/Oxford na Inglaterra, sobre a manipulação de cromossomos artificiais de levedura (YAC?s), parte do projeto do genoma humano. O Dr. Elibio Rech criou e lidera um grupo de pesquisas, que atualmente constitui referencia nacional e internacional na expressão de proteínas heterólogas em vegetais e animais. Estuda a expressão de biomoléculas de valor farmacêutico e industrial em plantas, animais e microrganismos. Estuda os processos de integração e expressão de sequencias regulatórias em genomas. Estuda o genoma das glândulas produtoras de sedas de aranhas e a produção de novos materiais. Estuda os impactos associados à agropecuária global e avaliação da interface da Ciência e objetivos sociais e econômicos. Estuda a evolução e aplicação da ciência para o desenvolvimento de processos e produtos através da manipulação da tecnologia do DNA recombinante. Tem estado ativamente envolvido em diferentes segmentos do Governo Federal sobre a questão da elaboração da lei, atividades de biossegurança e políticas de Ciência e Tecnologia. Demonstrou a capacidade tecnológica da área das Ciências Agrárias instalada no Brasil, de contribuir efetivamente para a solução de problemas associados demandas sociais e econômicas, através do desenvolvimento das primeiras plantas transgênicas de soja e feijão contendo genes de interesse, e de uma plataforma tecnológica para a produção de bovinos transgênicos(*). Desenvolveu diferentes processos patenteados. Foi Coordenador da Área de Biologia Molecular da EMBRAPA Recursos Genéticos e Biotecnologia. Realizou visitas de caráter científico e empresarial, às principais Universidades e Instituições de pesquisas dos Estados Unidos, Canadá e Europa. Realizou expedição de coleta de germoplasma na Amazônia. Foi Membro do Grupo Técnico do PADCT, durante duas gestões (1992 a 1996). Foi Vice-presidente da Sociedade Brasileira de Genética, na gestão 2000-2002. Recebeu o Prêmio por excelência da EMBRAPA em 1997, o Prêmio Governador do Estado de São Paulo, Invento Brasileiro, tendo obtido a 1a colocação e a Comenda da Ordem Nacional do Mérito Científico da Academia Brasileira de Ciências, em 2002. Tem participado ativamente de conferências e entrevistas, através dos principais meios de comunicações, sobre a importância da evolução da Ciência e do conhecimento no desenvolvimento da sociedade. É Professor Orientador, de Mestrado e Doutorado, do Curso de Pós-graduação em Biologia Molecular da Universidade de Brasília, desde 1991 e Professor Orientador do Curso de Mestrado em Biotecnologia da Universidade Católica de Brasília, desde 2000; É consultor das principais agências de fomento à pesquisa do país, e de diferentes revistas científicas nacionais e internacionais. Membro do Conselho do Patrimônio Genético - MMA. Atual Diretor da Academia Brasileira de Ciências. Coordenador do Instituto Nacional de Ciência e Tecnologia - Biologia Sintética. (*) Processos desenvolvidos: Patentes (utilizada para o desenvolvimento de produto no Brasil e no exterior): 1) Um processo para a obtenção de plantas transgênicas de leguminosas (Leguminosae) contendo DNA exógeno.; 2) Proteinas da teia de aranha Nephilengys cruentata, Avicularia juruensis e Parawixia bistriata isoladas da biodiversidade brasileira.","0995074904257272","9"
