"Researcher","Lattes Id","Seniority"
"Anamélia Lorenzetti Bocca  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_DA_SAUDE / Anatomia Patológica e Patologia Clínica/Imunopatologia	                                    	                                     	                                	Universidade de Brasília / Instituto de Ciências Biológicas  	                                	 	                                	 		                                	Possui graduação em Farmácia Industrial pela Universidade de São Paulo (1990), mestrado em Imunologia Básica e Aplicada pela Universidade de São Paulo (1993) e doutorado em Imunologia Básica e Aplicada pela Universidade de São Paulo (1996). Atualmente é professor associado IV da Universidade de Brasília. Tem experiência na área de Imunologia, com ênfase em Imunologia Celular, atuando principalmente nos seguintes temas: paracoccidioidomicose, cromoblastomicose, macrófagos, óxido nítrico, granuloma e inflamassoma. Desenvolve trabalhos utilizando peptídeos com atividade anti-inflamatória. Coordena o Laboratório de Imunologia Celular no Instituto de Biologia, Universidade de Brasília. O principal objetivo dos trabalhos desenvolvidos é o entendimento da interação fungo-hospedeiro visando alternativas terapêuticas mais eficientes.","7426592963217111","9"
"Andrea Queiroz Maranhao  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS / Biologia Molecular/Engenharia Genética Clonagem e Expressão de Genes Heterólogos Construção de Vetores	                                    	                                     	                                	Universidade de Brasília / Instituto de Ciências Biológicas  	                                	 	                                	 		                                	Possui mestrado em Ciências Biológicas (Biologia Molecular) - Departamento de Biologia Celular (1995) e Doutorado em Ciências Biológicas (Biologia Molecular) pela Universidade de Brasília (2001). Atualmente é professora associado da Universidade de Brasília. Tem experiência na área de Biologia Molecular, com ênfase em Imunologia Molecular, atuando principalmente nos seguintes temas: expressão de proteínas heterólogas, anticorpos em seus fragmentos em especial, phage display, humanização de anticorpos de interesse clínico, desenvolvimento de vetores para a expressão de proteínas recombinantes em bactérias, leveduras (Pichia pastoris) e células de mamíferos, além de ter experiência de participação de diversos projetos genomas funcional e estrutural.","0578253829444920","9"
"Bergmann Morais Ribeiro  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS / Genética Molecular e de Microorganismos/Biologia Molecular de Bacillus Thuringiensis	                                    	                                     	                                	Universidade de Brasília / Instituto de Ciências Biológicas  	                                	 	                                	 		                                	Possui graduação em Ciências Biollógicas pela Universidade de Brasília (1986), mestrado em Biotecnologia pelo Imperial College da Universidade de Londres, Inglaterra (1988), e doutorado em Microbiologia, também pelo Imperial College da Universidade de Londres (1992). Fez estágio pós-doutoral (1992 a 1993) na Universidade da Georgia (USA) e foi vice-chefe (2000 a 2002) e chefe (2002 a 2004) do Departamento de Biologia Celular, coordenador (2004-2007) do Programa de Pós-Graduação em Biologia Molecular do Departamento de Biologia Celular, Instituto de Ciências Biológicas e coordenador do Programa de Pós-Graduação em Patologia Molecular da Faculdade de Medicina (2010-2012), Além disso, foi vice-presidente (2013-2014) e presidente da Sociedade Brasileira de Virologia (2015-2016) e Diretor de Pós-Graduação do Decanato de Pesquisa e Pós-Graduação da Universidade de Brasília (2012-2016). Atualmente, é Professor Titular em Biologia Celular e Molecular do Departamento de Biologia Celular, Instituto de Ciências Biológicas da Universidade de Brasília (desde agosto de 2008) e pesquisador de produtividade do CNPq (nível 1C), Tem experiência na área de Microbiologia, com ênfase em biologia molecular de baculovírus, atuando principalmente nos seguintes temas: controle biológico de pragas e vetores, biologia molecular de vírus de inseto, biologia molecular de Bacillus thuringiensis e produção de insumos biotecnológicos.","5505277659734432","9"
"Carlos Andre Ornelas Ricart  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS / Enzimologia	                                    	                                     	                                	Universidade de Brasília / Instituto de Ciências Biológicas  	                                	 	                                	 		                                	Carlos André Ornelas Ricart é bacharel em Ciências Biológicas pela Universidade de Brasília(UnB) (1986), mestre em Ciências Biológicas (Biologia Molecular) pela Universidade de Brasília (1989) e PhD in Biochemistry pela Leeds University (1994). É professor da Universidade de Brasília desde 1989 onde ocupa atualmente cargo de Professor Titular. Dentre suas atividades de gestão, foi Chefe de Departamento de Biologia Celular do Instituto de Ciências Biológicas e coordenador do Programa de Pós graduação em Patologia Molecular (conceito 5 CAPES) da Universidade de Brasília. Suas atividades de pesquisa concentram-se nas áreas de bioquímica, química de proteínas e proteômica aplicadas a diversos modelos biológicos com destaque para a análise proteômica e subproteômica de Trypanosoma cruzi e análise proteômica de fungos filamentosos produtores de enzimas que degradam biomassa vegetal. Já coordenou diversos projetos de pesquisa financiados por diferentes órgão de fomento, incluindo FAPDF, CNPq, CAPES, International Foundation for Science e Organização Mundial da Saúde. Atualmente é membro da diretoria (tesoureiro) da Sociedade Brasileira de Proteômica .","1271167329803156","9"
"Célia Maria de Almeida Soares  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS / Bioquímica dos Microorganismos	                                    	                                     	                                	Universidade Federal de Goiás / Instituto de Ciências Biológicas  	                                	 	                                	 		                                	Possui graduação em Biologia pela Universidade de São Paulo (1973), mestrado em Biologia pelo Instituto de Ciências Biológicas - UFG (1984) e doutorado em Ciências Biológicas (Biofísica) pela Universidade Federal do Rio de Janeiro (1989). Possui pós doutorado pela Universidade de Cincinnati, Divisão de Doenças Infecciosas, em 1997. Atualmente é professor titular da Universidade Federal de Goiás, atuando nas áreas de Bioquímica e Biologia Molecular. Possui colaboração no exterior- University of Cincinnati, tendo também colaborado em projetos específicos com outros grupos do exterior, como Universidade de Milão e Instituto Venezoelano de Investigaciones Científicas, Yeshiva University. No Brasil tem colaboração com vários grupos da Universidade de Brasília, do Centro de Biotecnologia da Universidade Federal do Rio Grande do Sul, da Universidade Estadual Júlio de Mesquita Filho, Araraquara, do Instituto Oswaldo Cruz- Rio de Janeiro, da Universidade Federal de Minas Gerais, da Universidade Federal do Mato Grosso. Tem experiência na área de Bioquímica, com ênfase em Biologia Molecular, atuando principalmente nos seguintes temas: Paracoccidioides brasiliensis, com ênfase nos aspectos moleculares da interação patógeno-hospedeiro e em genômica, sendo integrante da Rede Nacional do Genoma Brasileiro e da Rede Genômica Centro-Oeste. Atualmente desenvolve também projetos na área de proteômica coordenando projetos da área financiados pela FINEP e CNPq. Coordenadora das Redes Temáticas: Bioprospecção de alvos em patógenos humanos e de novos produtos biotecnológicos com foco na fauna e flora do cerrado e Patogenias e fungos de interesse biotecnológico: Uma abordagem multidisciplinar na Rede Pro-Centro Oeste de Pesquisa e Pós graduação. Membro do Comitê de Assessoramento de Genética (CA-GE), suplente, de 1 de Julho de 2009 a 30 de Junho de 2011. Membro titular do Comitê de Assessoramento de Genética (CA-GE), a partir de 1 de Julho de 2011. Coordenadora do CA-Genética de 01 de Julho de 2013 a 31 de Junho de 2014. Membro da diretoria (primeira secretária) da Sociedade Brasileira de Genética, período 2014/2016. Membro da diretoria (vice-presidente) da Sociedade Brasileira de Genética, período 2016-2018. Coordenadora do projeto com selo INCT: Instituto Nacional de Ciência e Tecnologia de Estratégias de Interação Patógeno-Hospedeiro (IPH). Coordenadora da sub área de Micologia na Sociedade Brasileira de Microbiologia no período 2010 até o presente.","8539946335852637","9"
"Felipe Saldanha de Araujo  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS / Expressão Gênica/Biologia Molecular	                                    	                                     	                                	Universidade de Brasília / Ciências da Saúde  	                                	 	                                	 		                                	Professor Adjunto-IV no Curso de Farmácia da Universidade de Brasília (UnB), membro dos programas de pós-graduação em Ciências Farmacêuticas e Patologia Molecular da UNB e coordenador do Curso de Especialiação em Análises Clínicas da UnB. Possui graduação em Farmácia e Bioquímica pela Universidade Católica de Pelotas (2003), mestrado em Biociências Aplicadas à Farmácia pela Universidade de São Paulo (2006), doutorado em Clínica Médica pela Faculdade de Medicina de Ribeirão Preto-USP e Pós-doutorado pelo Instituto Nacional de Ciência e Tecnologia em Células-tronco e terapia Celular (INCTC). Atua principalmente nos seguintes temas: controle da resposta imune, biologia das células-tronco mesenquimais e neoplasias hematológicas. É consultor ad hoc do Ministério da Saúde e da CAPES. felipearaujo@unb.br","3786188659740332","9"
"Guilherme Martins Santos  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_DA_SAUDE / Farmacologia Molecular/Endocrinologia	                                    	                                     	                                	Universidade de Brasília / Faculdade de Ciencias da Saude  	                                	 	                                	 		                                	Possui graduação em Medicina Veterinária pela Universidade Federal de Uberlândia (1996), mestrado (2000) e doutorado (2004) em Patologia Molecular pela Universidade de Brasília, sendo o doutorado sandwich (2003-2004) no Inserm-Paris. Realizou pos doutorado no Medical Medical Research Council-Laboratory of Molecular Biology (MRC-LMB), Cambridge, e na Universidade de Leicester, UK. Foi pesquisador permanente do quadro do MRC-LMB, na divisao de Estudos Estruturais (2008-2011). Atualmente é Professor Adjunto da Faculdade de Ciências da Saúde, Farmacia. Tem experiência na área de Farmacologia Molecular e Bioquimica, atuando principalmente nos seguintes temas: estudos de interacao proteina-DNA, receptores nucleares e cromatina.","8109499519249042","9"
"Ildinete Silva Pereira  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_HUMANAS / Tópicos Específicos de Educação/Ensino Profissionalizante	                                    	                                     	                                	Universidade de Brasília / Instituto de Ciências Biológicas  	                                	 	                                	 		                                	Bacharel em Ciências Biológicas pela Universidade de Brasília (1981), mestrado em Biologia Molecular pela Universidade de Brasília (1986) e doutorado em Biologia Molecular - Centre National de la Recherche Scientifique, pela Universidade Paris VII, Instituto Jacques Monod - Paris/França (1993). Atualmente é professor Associado III do Departamento de Biologia Celular/Instituto de Biologia da Universidade de Brasília. Tem experiência na área de Bioquímica, Biologia Molecular, Microbiologia e Imunologia, atuando principalmente no estudo dos aspectos moleculares da interação hospedeiro - patógeno. O principal foco da pesquisa em desenvolvimento é o estudo dos mecanismos de virulência fúngica e da resposta imune do hospedeiro, com ênfase nos fungos patogênicos dos gêneros Paracoccidioides, Candida e Cryptococcus. Visando um maior entendimento das bases moleculares dos mecanismos de adaptação e evasão das defesas do hospedeiro, a caracterização do perfil transcritômico dos fungos, no contexto do hospedeiro ou quando submetidos a condições de estresse que simulam o ambiente do hospedeiro, consiste em um dos temas centrais de estudo em nosso grupo. Por seu importante papel na expressão da virulência em processos infecciosos, o fenômeno de quorum sensing (QS), uma estratégia de comunicação célula-célula, de modo dependente de densidade celular, é também outro tema de nosso interesse. Com o objetivo de identificar potenciais alvos terapêuticos, temos empregado análises transcritômicas em larga escala para caracterizar a resposta imunológica de modelos murinos, diferindo no perfil de suscetibilidade, à infecção fúngica. Em virtude do crescente impacto das doenças fúngicas e da relatada limitação dos tratamentos convencionais, associados à crescente aquisição de resistência pelos microrganismos, desenvolvemos um projeto voltado à prospecção de peptídeos com atividades antifúngicas e/ou imunomoduladoras, a partir da peçonha de animais. Para abordar tais questões, além das metodologias tradicionais empregadas nos estudos de expressão gênica diferencial, como RT-PCR em tempo real e Microarranjos de DNA, recentemente introduzimos a estratégia de RNA-seq, considerada um dos métodos mais eficientes para análises transcritômicas em larga escala. Também atua no estudo de bactérias e fungos de interesse biotecnológico (principalmente na clonagem e expressão heteróloga de genes do sistema lignocelulolítico).","2987052330959897","9"
"Izabela Marques Dourado Bastos Charneau  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS / Enzimologia	                                    	                                     	                                	Universidade de Brasília / Instituto de Biologia  	                                	 	                                	 		                                	Possui graduação em Ciencias Biológicas pela Universidade de Brasília (1998), doutorado sanduiche- Museum National d'Histoire Naturelle (2002), doutorado em Patologia Molecular pela Universidade de Brasília (2003) e pós-doutorado em Protozoologia-Paris(2004). Tem experiência na área de Bioquímica, com ênfase em Biologia Molecular e microorganismos patogênicos, atuando principalmente nos seguintes temas: Doença de Chagas, Doença do Sono, Leishmaniose, Tuberculose, proteases, prolyl oligopeptidases, Vias de deubiquitinação, otubaína, Papel de proteínas motoras cinesinas, inibidores e busca de novos alvos quimioterapêuticos, sistema CRISPR Cas9. É Profa. Adjunta do Departamento de Biologia Celular da Universidade de Brasília.","1447975141452855","9"
"Jaime Martins de Santana  	                                	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    	                                    		                                    		                                    	  	                                    	                                    	                                    	                                    Research area: CIENCIAS_BIOLOGICAS / Imunoquímica	                                    	                                     	                                	Universidade de Brasília / Instituto de Ciências Biológicas  	                                	 	                                	 		                                	Jaime Martins Santana é biólogo com mestrado em biologia molecular - UnB - 1988 e doutorado em Patologia Molecular - UnB/Universidade de Poitiers-França - em 1993. Foi professor visitante do Museu de História Natural de Paris (1994) e pesquisador associado da Northwestern University - Chicago - em 1997/98. É professor do Departamento de Biologia Celular da UnB desde 1989 (Prof. Titular). Foi Chefe do Departamento de Biologia Celular, membro de vários conselhos da UnB e Coordenador, por 3 mandatos, do Programa de Pós-Graduação em Patologia Molecular-Faculdade de Medicina. É membro do Comitê Medicina I da CAPES de avaliação de Pós-Graduação e Conselheiro Nacional da SBPC. Foi Decano de Pesquisa e Pós-Graduação (pró-reitor) da Universidade de Brasília 2012-2016. A linha de pesquisa principal é caracterização molecular e funcional de alvos de drogas em Trypanosoma cruzi e outros patógenos. Também atua em entomologia molecular de vetores de doenças tropicais. Os projetos referem-se a aspectos da biologia molecular, biologia celular, enzimologia, bioquímica e biologia estrutural de enzimas candidatas a alvos de drogas tripanocidas para quimioterapia da Doença de Chagas, leishmanioses e tuberculose. Publicou 66 trabalhos em periódicos especializados, orientou 14 dissertações de mestrado e 11 teses de doutorado.","0080556850353422","9"
